,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time
2024-07-01 00:23:00+08:00,134.57917013658965,134.57917013658965,-44.57917013658965,-44.57917013658965,358.6732987204224,-3.8236764434477664
2024-07-01 00:33:00+08:00,134.56804569954784,134.56804569954784,-44.568045699547824,-44.568045699547824,1.9008339676179276,-3.825026822880318
2024-07-01 00:43:00+08:00,134.42690369062882,134.42690369062882,-44.42690369062883,-44.42690369062883,5.118122451036868,-3.8263770124394796
2024-07-01 00:53:00+08:00,134.1569473523475,134.1569473523475,-44.15694735234749,-44.15694735234749,8.307982889918549,-3.8277270119288005
2024-07-01 01:03:00+08:00,133.7604376965662,133.7604376965662,-43.7604376965662,-43.7604376965662,11.45415003825076,-3.8290768211809336
2024-07-01 01:13:00+08:00,133.24060149255033,133.24060149255033,-43.24060149255032,-43.24060149255032,14.541767376991288,-3.830426440181327
2024-07-01 01:23:00+08:00,132.60150615495922,132.60150615495922,-42.60150615495923,-42.60150615495923,17.55777075598911,-3.831775868704426
2024-07-01 01:33:00+08:00,131.84791227922395,131.84791227922395,-41.847912279223955,-41.847912279223955,20.491143626167116,-3.8331251066410914
2024-07-01 01:43:00+08:00,130.98511534571765,130.98511534571765,-40.98511534571766,-40.98511534571766,23.33304023942094,-3.8344741537584923
2024-07-01 01:53:00+08:00,130.01878696083344,130.01878696083344,-40.01878696083345,-40.01878696083345,26.076788395027734,-3.8358230101148365
2024-07-01 02:03:00+08:00,128.95482544721435,128.95482544721435,-38.95482544721435,-38.95482544721435,28.717789256403307,-3.8371716754772933
2024-07-01 02:13:00+08:00,127.79922115401851,127.79922115401851,-37.79922115401852,-37.79922115401852,31.253343671966263,-3.8385201497076196
2024-07-01 02:23:00+08:00,126.55794134487023,126.55794134487023,-36.55794134487023,-36.55794134487023,33.682428699578566,-3.839868432711228
2024-07-01 02:33:00+08:00,125.23683604438062,125.23683604438062,-35.23683604438062,-35.23683604438062,36.00544976735017,-3.841216524313495
2024-07-01 02:43:00+08:00,123.84156476722424,123.84156476722424,-33.841564767224234,-33.841564767224234,38.22398827888031,-3.842564424419834
2024-07-01 02:53:00+08:00,122.37754267525747,122.37754267525747,-32.37754267525748,-32.37754267525748,40.34055961301539,-3.8439121328192414
2024-07-01 03:03:00+08:00,120.84990390506873,120.84990390506873,-30.84990390506873,-30.84990390506873,42.35839149484468,-3.8452596495044418
2024-07-01 03:13:00+08:00,119.2634795219054,119.2634795219054,-29.263479521905396,-29.263479521905396,44.28122830167297,-3.8466069740825333
2024-07-01 03:23:00+08:00,117.6227867420902,117.6227867420902,-27.622786742090206,-27.622786742090206,46.11316434966369,-3.8479541067572427
2024-07-01 03:33:00+08:00,115.93202846664536,115.93202846664536,-25.932028466645356,-25.932028466645356,47.858504077993814,-3.849301047230256
2024-07-01 03:43:00+08:00,114.19509871208965,114.19509871208965,-24.19509871208964,-24.19509871208964,49.521649930717615,-3.8506477953778813
2024-07-01 03:53:00+08:00,112.41559357477547,112.41559357477547,-22.415593574775468,-22.415593574775468,51.107013283021615,-3.851994351069152
2024-07-01 04:03:00+08:00,110.59682549496694,110.59682549496694,-20.59682549496693,-20.59682549496693,52.618946073839254,-3.8533407141585485
2024-07-01 04:13:00+08:00,108.74183964037042,108.74183964037042,-18.74183964037042,-18.74183964037042,54.061689830922944,-3.854686884515104
2024-07-01 04:23:00+08:00,106.85343142492158,106.85343142492158,-16.853431424921588,-16.853431424921588,55.43933905674692,-3.8560328620296787
2024-07-01 04:33:00+08:00,104.93416441301024,104.93416441301024,-14.934164413010233,-14.934164413010233,56.755816241255275,-3.857378646534926
2024-07-01 04:43:00+08:00,102.98638819996955,102.98638819996955,-12.986388199969554,-12.986388199969554,58.01485602366455,-3.8587242378052906
2024-07-01 04:53:00+08:00,101.01225510295755,101.01225510295755,-11.01225510295755,-11.01225510295755,59.21999696415355,-3.8600696359426365
2024-07-01 05:03:00+08:00,99.01373736741607,99.01373736741607,-9.013737367416066,-9.013737367416066,60.37457797526338,-3.861414840663201
2024-07-01 05:13:00+08:00,96.99264212680501,96.99264212680501,-6.992642126805005,-6.992642126805005,61.48173970655148,-3.862759851865121
2024-07-01 05:23:00+08:00,94.95062598069308,94.95062598069308,-4.950625980693073,-4.950625980693073,62.54442849082801,-3.8641046693810495
2024-07-01 05:33:00+08:00,92.88920838170633,92.88920838170633,-2.8892083817063186,-2.8892083817063186,63.565402473184406,-3.8654492931018467
2024-07-01 05:43:00+08:00,90.20046652926503,90.80978396640779,-0.20046652926503183,-0.8097839664077905,64.54723913622149,-3.8667937228965457
2024-07-01 05:53:00+08:00,88.3803314492443,88.71363386153384,1.6196685507557094,1.2863661384661678,65.49234367702081,-3.868137958612351
2024-07-01 06:03:00+08:00,86.39272193728671,86.6019360138611,3.60727806271329,3.398063986138895,66.40295781713576,-3.869482000125572
2024-07-01 06:13:00+08:00,84.32758806585665,84.47577474501482,5.672411934143361,5.5242252549851765,67.28116866894908,-3.8708258472324815
2024-07-01 06:23:00+08:00,82.22290020488008,82.33614873764229,7.777099795119929,7.663851262357706,68.12891776665998,-3.8721694999549072
2024-07-01 06:33:00+08:00,80.09303893601239,80.1839796596876,9.906961063987605,9.816020340312404,68.94800920329055,-3.873512958030915
2024-07-01 06:43:00+08:00,77.9445616509554,78.0201186401408,12.055438349044604,11.979881359859208,69.74011791493109,-3.8748562214095728
2024-07-01 06:53:00+08:00,75.78101882869012,75.84535279529261,14.218981171309872,14.154647204707393,70.5067971204304,-3.876199289901706
2024-07-01 07:03:00+08:00,73.60462151436832,73.66041101446719,16.39537848563169,16.339588985532814,71.24948519116043,-3.877542163383623
2024-07-01 07:13:00+08:00,71.41690568270316,71.46596919740661,18.58309431729684,18.534030802593392,71.96951182372243,-3.8788848417025292
2024-07-01 07:23:00+08:00,69.21902994839655,69.26265500385276,20.78097005160345,20.737344996147236,72.66810344771062,-3.8802273247783887
2024-07-01 07:33:00+08:00,67.01192251929129,67.05105215747527,22.988077480708714,22.94894784252473,73.3463878021426,-3.8815696124220267
2024-07-01 07:43:00+08:00,64.79636002596914,64.83170450018957,25.203639974030857,25.16829549981043,74.00539755577609,-3.8829117044369923
2024-07-01 07:53:00+08:00,62.57301211585121,62.60511894301234,27.426987884148783,27.394881056987654,74.64607313288684,-3.8842536008087336
2024-07-01 08:03:00+08:00,60.342469960007335,60.37176958455429,29.657530039992665,29.628230415445707,75.26926395179527,-3.8855953014353872
2024-07-01 08:13:00+08:00,58.10526350427411,58.132100054376615,31.894736495725887,31.867899945623385,75.87572878062684,-3.8869368060913985
2024-07-01 08:23:00+08:00,55.8618737487983,55.88652634404361,34.1381262512017,34.11347365595639,76.46613430039241,-3.8882781146458
2024-07-01 08:33:00+08:00,53.61274138453859,53.63543926282298,36.38725861546141,36.36456073717702,77.04105180796836,-3.8896192269894527
2024-07-01 08:43:00+08:00,51.358273205202,51.37920669384521,38.641726794798,38.62079330615479,77.6009515507223,-3.8909601429622853
2024-07-01 08:53:00+08:00,49.09884705275932,49.11817567695946,40.90115294724068,40.88182432304054,78.14619404677512,-3.8923008624478825
2024-07-01 09:03:00+08:00,46.83481576676979,46.85267434334857,43.16518423323021,43.14732565665143,78.67701748207742,-3.893641385315277
2024-07-01 09:13:00+08:00,44.566510597429584,44.583013883265025,45.433489402570416,45.416986116734975,79.19351985607483,-3.8949817113098106
2024-07-01 09:23:00+08:00,42.29424336998882,42.3094896550708,47.70575663001118,47.6905103449292,79.69563421811836,-3.8963218405115185
2024-07-01 09:33:00+08:00,40.01830984160974,40.03238376043785,49.98169015839026,49.96761623956215,80.18309374389378,-3.89766177268757
2024-07-01 09:43:00+08:00,37.73899132114762,37.75196607551376,52.26100867885238,52.24803392448624,80.65538327449525,-3.8990015076778946
2024-07-01 09:53:00+08:00,35.45655694264626,35.468496076324385,54.54344305735374,54.531503923675615,81.11167060361743,-3.90034104539518
2024-07-01 10:03:00+08:00,33.17126579261156,33.182224620447165,56.82873420738844,56.817775379552835,81.55070808963364,-3.901680385628424
2024-07-01 10:13:00+08:00,30.88336918269252,30.893395950225013,59.11663081730748,59.10660404977499,81.97068918012485,-3.903019528333971
2024-07-01 10:23:00+08:00,28.59311326519728,28.602250096015645,61.40688673480272,61.397749903984355,82.36903457356573,-3.9043584733226453
2024-07-01 10:33:00+08:00,26.300742302448832,26.309025976774834,63.69925769755117,63.690974023225166,82.74206506220884,-3.9056972204416525
2024-07-01 10:43:00+08:00,24.006503271891305,24.01396586994204,65.9934967281087,65.98603413005796,83.08448516663918,-3.9070357695018174
2024-07-01 10:53:00+08:00,21.710651841485983,21.71732127756404,68.28934815851402,68.28267872243596,83.38853756838319,-3.908374120561348
2024-07-01 11:03:00+08:00,19.413463873676235,19.419364342606258,70.58653612632376,70.58063565739374,83.64255518254396,-3.909712273380137
2024-07-01 11:13:00+08:00,17.11525320442503,17.120405557643082,72.88474679557497,72.87959444235692,83.82834561639265,-3.911050227812666
2024-07-01 11:23:00+08:00,14.816406563690833,14.820828632299168,75.18359343630917,75.17917136770083,83.91614084459263,-3.9123879836915876
2024-07-01 11:33:00+08:00,12.517455810784938,12.521162696150725,77.48254418921506,77.47883730384928,83.85398913888253,-3.9137255409368663
2024-07-01 11:43:00+08:00,10.219246638965757,10.222251006795915,79.78075336103424,79.77774899320409,83.54287085862973,-3.915062899373879
2024-07-01 11:53:00+08:00,7.923399114085996,7.925711583723185,82.076600885914,82.07428841627681,82.76873966851008,-3.9164000589080388
2024-07-01 12:03:00+08:00,5.6338883653813525,5.6355183283456824,84.36611163461865,84.36448167165432,80.97001571922789,-3.917737019357446
2024-07-01 12:13:00+08:00,3.3650315970821083,3.365990352503715,86.63496840291789,86.63400964749628,76.07535408002434,-3.919073780554754
2024-07-01 12:23:00+08:00,1.2387403150316771,1.2390727786751938,88.76125968496832,88.7609272213248,51.33851573587049,-3.920410342470859
2024-07-01 12:33:00+08:00,1.5417180498164953,1.5421396605502053,88.4582819501835,88.4578603394498,300.23903011749724,-3.92174670494569
2024-07-01 12:43:00+08:00,3.72162957338206,3.722693571964868,86.27837042661794,86.27730642803513,282.6887332327159,-3.9230828678118996
2024-07-01 12:53:00+08:00,5.996005050749588,5.9977425574497545,84.00399494925041,84.00225744255025,278.6044964228453,-3.924418830931245
2024-07-01 13:03:00+08:00,8.287055052674035,8.289476556521151,81.71294494732597,81.71052344347885,277.03768329429204,-3.9257545941800345
2024-07-01 13:13:00+08:00,10.583514472385986,10.58662946558232,79.41648552761401,79.41337053441768,276.3602362313401,-3.9270901573981973
2024-07-01 13:23:00+08:00,12.88200514325473,12.88582453954885,77.11799485674527,77.11417546045115,276.09845958337,-3.928425520498422
2024-07-01 13:33:00+08:00,15.181086723328406,15.18562355936784,74.8189132766716,74.81437644063216,276.06492277265704,-3.9297606832915335
2024-07-01 13:43:00+08:00,17.47998222992983,17.48525202809499,72.52001777007017,72.51474797190501,276.17086689721856,-3.931095645602909
2024-07-01 13:53:00+08:00,19.778190868349114,19.784211926828746,70.22180913165089,70.21578807317125,276.3689724143919,-3.932430407439824
2024-07-01 14:03:00+08:00,22.075340961318318,22.082134648163986,67.92465903868168,67.91786535183601,276.6318105449574,-3.9337649685694487
2024-07-01 14:13:00+08:00,24.371126686545523,24.37871777025515,65.62887331345448,65.62128222974485,276.9424738906728,-3.935099328875367
2024-07-01 14:23:00+08:00,26.665276679853356,26.67369371583881,63.334723320146644,63.32630628416119,277.2900492301882,-3.93643348824844
2024-07-01 14:33:00+08:00,28.95753727537401,28.9668130653319,61.04246272462599,61.0331869346681,277.6672455498027,-3.9377674464922165
2024-07-01 14:43:00+08:00,31.247662742191288,31.257834884630547,58.75233725780871,58.74216511536945,278.0690689003825,-3.9391012035193853
2024-07-01 14:53:00+08:00,33.53540912571723,33.5465206794318,56.46459087428277,56.4534793205682,278.4920424797779,-3.940434759162599
2024-07-01 15:03:00+08:00,35.820530034063815,35.832630321811735,54.179469965936185,54.167369678188265,278.933727414715,-3.941768113298167
2024-07-01 15:13:00+08:00,38.102773348473576,38.115918935725105,51.897226651526424,51.884081064274895,279.39241748379413,-3.943101265729638
2024-07-01 15:23:00+08:00,40.381879292303175,40.39613518687644,49.618120707696825,49.60386481312356,279.8669388343285,-3.9444342164570116
2024-07-01 15:33:00+08:00,42.657577276042865,42.67301840783172,47.342422723957135,47.32698159216828,280.3565148310312,-3.945766965240182
2024-07-01 15:43:00+08:00,44.929584391242045,44.9462974526287,45.070415608757955,45.0537025473713,280.86067333959244,-3.947099512028217
2024-07-01 15:53:00+08:00,47.19760312991995,47.215688884418796,42.80239687008005,42.784311115581204,281.37918173527345,-3.94843185658101
2024-07-01 16:03:00+08:00,49.46131912883034,49.4808953356622,40.53868087116966,40.5191046643378,281.9120008502879,-3.9497639988258015
2024-07-01 16:13:00+08:00,51.72039868393233,51.74160384348997,38.27960131606767,38.25839615651003,282.45925204562144,-3.9510959386389004
2024-07-01 16:23:00+08:00,53.974485909501354,53.99748411879295,36.025514090498646,36.00251588120705,283.02119358961966,-3.952427675787476
2024-07-01 16:33:00+08:00,56.223199384691355,56.24818671767998,33.776800615308645,33.75181328232002,283.59820377506765,-3.953759210264252
2024-07-01 16:43:00+08:00,58.46612791735946,58.493340937172576,31.533872082640546,31.506659062827424,284.19076897627104,-3.9550905417418107
2024-07-01 16:53:00+08:00,60.70282599983461,60.73255331130122,29.29717400016539,29.267446688698783,284.79947566459344,-3.9564216703511192
2024-07-01 17:03:00+08:00,62.93280619369666,62.96540442477068,27.067193806303337,27.034595575229318,285.4250049236854,-3.957752595808415
2024-07-01 17:13:00+08:00,65.15553062854393,65.19144702930322,24.844469371456068,24.80855297069678,286.06812964667586,-3.9590833179681795
2024-07-01 17:23:00+08:00,67.37039796608295,67.41020317346198,22.62960203391706,22.589796826538016,286.72971338162307,-3.9604138367139967
2024-07-01 17:33:00+08:00,69.57672429430968,69.62116122677367,20.423275705690312,20.378838773226335,287.41071074505544,-3.9617441519076237
2024-07-01 17:43:00+08:00,71.7737132881865,71.82377260769982,18.2262867118135,18.17622739230018,288.1121691302547,-3.9630742634108174
2024-07-01 17:53:00+08:00,73.96040689399939,74.01744818460794,16.03959310600061,15.98255181539206,288.835231540963,-3.964404171121714
2024-07-01 18:03:00+08:00,76.13559850675784,76.20155431556158,13.864401493242163,13.79844568443842,289.58114042501984,-3.965733874865691
2024-07-01 18:13:00+08:00,78.2976685795146,78.37540833234964,11.70233142048539,11.624591667650364,290.35124235626984,-3.9670633744099177
2024-07-01 18:23:00+08:00,80.44424744094127,80.53827430300835,9.555752559058728,9.461725696991651,291.1469938025951,-3.9683926698053256
2024-07-01 18:33:00+08:00,82.57144691233597,82.68935683628202,7.428553087664029,7.31064316371799,291.9699671340665,-3.969721760855464
2024-07-01 18:43:00+08:00,84.671891521864,84.8277957908929,5.328108478136008,5.172204209107087,292.8218578394503,-3.9710506473347778
2024-07-01 18:53:00+08:00,86.72888683321082,86.952659643802,3.2711131667891724,3.0473403561980024,293.7044921110625,-3.9723793292214395
2024-07-01 19:03:00+08:00,88.69723119300359,89.06293833285582,1.3027688069964172,0.9370616671441835,294.61983502091306,-3.9737078063262743
2024-07-01 19:13:00+08:00,91.1575353635526,91.1575353635526,-1.1575353635526031,-1.1575353635526031,295.5699991304532,-3.975036078474659
2024-07-01 19:23:00+08:00,93.23525911407329,93.23525911407329,-3.2352591140732883,-3.2352591140732883,296.5572533931722,-3.97636414563749
2024-07-01 19:33:00+08:00,95.29481327251952,95.29481327251952,-5.294813272519526,-5.294813272519526,297.5840321624448,-3.9776920075601083
2024-07-01 19:43:00+08:00,97.33478620595311,97.33478620595311,-7.334786205953104,-7.334786205953104,298.65294398117925,-3.9790196640678914
2024-07-01 19:53:00+08:00,99.35364002187939,99.35364002187939,-9.35364002187939,-9.35364002187939,299.7667802581648,-3.980347115211771
2024-07-01 20:03:00+08:00,101.34969722359833,101.34969722359833,-11.349697223598326,-11.349697223598326,300.92852231281245,-3.981674360722536
2024-07-01 20:13:00+08:00,103.32112767187783,103.32112767187783,-13.321127671877834,-13.321127671877834,302.14134765877384,-3.98300140054198
2024-07-01 20:23:00+08:00,105.26593378746392,105.26593378746392,-15.265933787463917,-15.265933787463917,303.4086337279715,-3.984328234451823
2024-07-01 20:33:00+08:00,107.18193486024012,107.18193486024012,-17.181934860240126,-17.181934860240126,304.7339585378928,-3.985654862386582
2024-07-01 20:43:00+08:00,109.06675041766607,109.06675041766607,-19.06675041766607,-19.06675041766607,306.12109707031436,-3.986981284164358
2024-07-01 20:53:00+08:00,110.91778282042588,110.91778282042588,-20.917782820425877,-20.917782820425877,307.57401192387425,-3.988307499610528
2024-07-01 21:03:00+08:00,112.73219935412256,112.73219935412256,-22.732199354122557,-22.732199354122557,309.0968364868378,-3.989633508666884
2024-07-01 21:13:00+08:00,114.50691410011714,114.50691410011714,-24.50691410011714,-24.50691410011714,310.6938484194165,-3.9909593110569404
2024-07-01 21:23:00+08:00,116.23857086318961,116.23857086318961,-26.2385708631896,-26.2385708631896,312.3694316356597,-3.99228490684618
2024-07-01 21:33:00+08:00,117.92352615616508,117.92352615616508,-27.923526156165074,-27.923526156165074,314.12802235861216,-3.9936102958163247
2024-07-01 21:43:00+08:00,119.55783565566625,119.55783565566625,-29.557835655666246,-29.557835655666246,315.974038301258,-3.9949354777490953
2024-07-01 21:53:00+08:00,121.13724366668407,121.13724366668407,-31.137243666684068,-31.137243666684068,317.9117861513504,-3.996260452651768
2024-07-01 22:03:00+08:00,122.65717797686929,122.65717797686929,-32.6571779768693,-32.6571779768693,319.9453448615918,-3.9975852202551323
2024-07-01 22:13:00+08:00,124.11275199698494,124.11275199698494,-34.11275199698495,-34.11275199698495,322.07842199413017,-3.9989097805082565
2024-07-01 22:23:00+08:00,125.4987765293666,125.4987765293666,-35.498776529366594,-35.498776529366594,324.31418147717113,-4.000234133229242
2024-07-01 22:33:00+08:00,126.80978378492821,126.80978378492821,-36.809783784928214,-36.809783784928214,326.6550428748555,-4.001558278272569
2024-07-01 22:43:00+08:00,128.0400663138059,128.0400663138059,-38.04006631380591,-38.04006631380591,329.1024547007323,-4.0028822154708905
2024-07-01 22:53:00+08:00,129.1837339788445,129.1837339788445,-39.1837339788445,-39.1837339788445,331.65664903854145,-4.004205944795103
2024-07-01 23:03:00+08:00,130.23478995139757,130.23478995139757,-40.23478995139758,-40.23478995139758,334.3163857207461,-4.00552946604148
2024-07-01 23:13:00+08:00,131.1872286999973,131.1872286999973,-41.1872286999973,-41.1872286999973,337.0787051537916,-4.006852779129986
2024-07-01 23:23:00+08:00,132.035154631886,132.035154631886,-42.035154631886,-42.035154631886,339.9387082328044,-4.008175883813237
2024-07-01 23:33:00+08:00,132.77291987028437,132.77291987028437,-42.77291987028436,-42.77291987028436,342.88938933358196,-4.009498780069407
2024-07-01 23:43:00+08:00,133.3952766917366,133.3952766917366,-43.39527669173659,-43.39527669173659,345.9215491922633,-4.010821467614733
2024-07-01 23:53:00+08:00,133.89753767394689,133.89753767394689,-43.89753767394687,-43.89753767394687,349.0238131231523,-4.012143946500146
2024-07-02 00:03:00+08:00,134.27573423543691,134.27573423543691,-44.275734235436914,-44.275734235436914,352.18277404233527,-4.013466216434608
